	id	rumor	label
0	AuRED_014	#Urgent / Ramallah Ministry of Health spokesman Kamal Al-Shakhra: We received 2,000 doses of the American Moderna #Corona vaccine, and this batch will be designated for President Abbas, the Fatah Central Committee, and VIPs.	REFUTES
1	AuRED_037	Macron to Sky News: After my visit to Mrs. Fairouz last night and the visit to the Jaj Cedar Reserve, I realized the love of a large section of the Lebanese people for their President of the Republic. Fairouz also told me about her appreciation and love for the President and the reform project that the President of the Republic wants to implement. I also salute the President of the Republic and his efforts and patience. 	REFUTES
2	AuRED_085	Saudi Arabia evacuated 10 students from China in a plane that could accommodate 500 passengers, and did not evacuate 170 Yemeni students with it, while participating with 100 warplanes to bomb Yemen. May God protect the Sultanate of Oman for sending a private plane to the Yemeni students stranded in China. And what a good neighbor, Oman   co/OfDSIoD5ry	REFUTES
3	AuRED_089	The Corona epidemic has reached the Emirates, with 75 cases in Abu Dhabi and 63 cases in Dubai. A warning to refrain from traveling to the Emirates in order to preserve safety and not transmit the epidemic. May God protect Muslims everywhere...	REFUTES
4	AuRED_135	The official spokesman for the Football Association: #Al-Ahly sent a letter to the Football Association announcing its refusal to wear #Zamalek in the full blue uniform during the #Egyptian_Super_match, based on its request.	REFUTES
5	AuRED_141	The Prime Minister of Italy, Giorgia Meloni, with the Prime Minister of Iraq, Muhammad Shia al-Sudani, in Baghdad, but what is strange is that the flag is not the flag of the Italian State.!! This is the situation when mercenary agents rule as agents. The occupiers do not even know the difference between (the flag of Italy) and (the flag of Ireland).!! 	REFUTES
6	AuRED_143	Urgent  Resignation of the Director General of the Municipality, Engineer; #Ahmed_Al-Manfoukhi 	REFUTES
7	AuRED_146	Ministry of Works: We receive in-kind donations from citizens or companies for specific street repairs via official address 	REFUTES
8	AuRED_152	#Exclusively: The Queen of Arab Pop #Nancy_Ajram refused to sing with restaurant singer #Nawal_Alzoghbi after Nawal asked several times to sing with her and to have a duet together  #Trio_Arabic_Night	REFUTES
9	AuRED_155	Unconfirmed information about MP Alain Aoun being involved in a serious accident and information about his death 	REFUTES
10	AuRED_157	God is Great, and praise be to God. The release of Sheikh Salman Al-Awda from the deadly prisons of Al-Salool. May God hasten the release of the captivity of all his brothers, scholars and oppressed oppressed people. 	REFUTES
11	AuRED_158	New innovation.. Hidden chairs and box in carpets, Abdul Wahhab Mosque, Doha, Qatar 	REFUTES
12	AuRED_105	Tunisia offers to help Libya treat those injured in the fuel truck explosion in Bint Biyya #Libya #Witness for details: 	SUPPORTS
13	AuRED_111	The Spanish Casas is the coach of the Iraqi national team 	SUPPORTS
